"","sample_name","type","duplicates","species","genet.ID","Away.nursery","Home.nursery","frag.id"
"Acer235R","Acer235R","sample","","Acer","TDT1","CRF","FWC","TDT1 FWC "
"Acer235R.1","Acer235R","sample","","Acer","8a","CRF","NSU","8a NSU "
"Acer236","Acer236","sample","dup","Acer","StagreefA","CRF","UM","StagreefA UM "
"Acer236.1","Acer236","sample","dup","Acer","MiamiBeachD","CRF","UM","MiamiBeachD UM "
"Acer236R","Acer236R","sample","","Acer","StagreefA","CRF","UM","StagreefA UM "
"Acer236R.1","Acer236R","sample","","Acer","MiamiBeachD","CRF","UM","MiamiBeachD UM "
"Acer237","Acer237","sample","","Acer","Marker9","CRF","UM","Marker9 UM "
"Acer238","Acer238","sample","","Acer","20","CRF","NSU","20 NSU "
"Acer239","Acer239","sample","","Acer","Acer097","CRF","CRF","Acer097 CRF "
"Acer24","Acer24","sample","","Acer","FM20","FWC","FWC","FM20 FWC "
"Acer240","Acer240","sample","","Acer","ML46","CRF","Mote","ML46 Mote "
"Acer241","Acer241","sample","","Acer","ML10","CRF","Mote","ML10 Mote "
"Acer242","Acer242","sample","","Acer","ML51","CRF","Mote","ML51 Mote "
"Acer243","Acer243","sample","","Acer","SunnyIslesC","CRF","UM","SunnyIslesC UM "
"Acer244","Acer244","sample","","Acer","ML88","CRF","Mote","ML88 Mote "
"Acer245","Acer245","sample","","Acer","Acer060","CRF","CRF","Acer060 CRF "
"Acer246","Acer246","sample","","Acer","6a","CRF","NSU","6a NSU "
"Acer247","Acer247","sample","","Acer","ML20","CRF","Mote","ML20 Mote "
"Acer248","Acer248","sample","","Acer","4","CRF","NSU","4 NSU "
"Acer249","Acer249","sample","","Acer","13","CRF","NSU","13 NSU "
